"HABITAT","BIOTOP","MINIMISIZE","PRIORITA"
"1340","T7",5000,1
"2330","T5.1",5000,0
"2330","T5.2",5000,0
"2330","T5.3",5000,0
"3130","M2.1",7000,0
"3130","M2.2",1000,0
"3130","M2.3",7000,0
"3130","M3",2000,0
"3130","V6",1000,0
"3140","V5",1000,0
"3150","V1A",5000,0
"3150","V1B",5000,0
"3150","V1C",5000,0
"3150","V1D",5000,0
"3150","V1E",5000,0
"3150","V1F",5000,0
"3160","V3",2000,0
"3220","M4.3",1000,0
"3230","M4.2",300,0
"3240","K2.2",3000,0
"3260","V4A",4000,0
"3270","M6",7000,0
"4030","T8.1B",5000,0
"4030","T8.2B",5000,0
"4030","T8.3",5000,0
"4060","A2.1",5000,0
"4060","A2.2",5000,0
"4070","A7",50000,1
"4080","A8.1",10000,0
"4080","A8.2",10000,0
"40A0","K4A",2000,1
"40A0","K4B",2000,1
"5130","T3.4B",6000,0
"5130","T8.1A",6000,0
"5130","T8.2A",6000,0
"6110","T6.2A",1000,1
"6110","T6.2B",1000,1
"6150","A1.1",15000,0
"6150","A1.2",15000,0
"6150","A3",15000,0
"6190","T3.1",5000,0
"6190","T3.2",5000,0
"6210p","T3.3C",20000,1
"6210","T3.3D",20000,0
"6210p","T3.4A",20000,1
"6210p","T3.4C",20000,1
"6210","T3.4D",20000,0
"6210p","T3.5A",20000,1
"6210","T3.5B",20000,0
"6230","T2.1",30000,1
"6230","T2.2",30000,1
"6230","T2.3A",30000,1
"6230","T2.3B",30000,1
"6240","T3.3A",20000,1
"6250","T3.3B",4000,1
"6260","T5.4",5000,1
"6410","T1.9",30000,0
"6430","M5",20000,0
"6430","M7",20000,0
"6430","A4.1",20000,0
"6430","A4.2",20000,0
"6430","A4.3",20000,0
"6430","T1.6",20000,0
"6430","T1.8",20000,0
"6440","T1.7",30000,0
"6510","T1.1",30000,0
"6520","T1.2",30000,0
"7110","R3.1",15000,1
"7110","R3.3",15000,1
"7120","R3.4",25000,0
"7140","M1.6",20000,0
"7140","R2.2",20000,0
"7140","R2.3",20000,0
"7150","R2.4",2000,0
"7210","M1.8",5000,1
"7220","R1.1",300,1
"7220","R1.3",300,1
"7230","R2.1",2000,0
"8110","A6A",2000,0
"8150","S2B",4000,0
"8160","S2A",2000,1
"8210","S1.1",3000,0
"8220","S1.2",3000,0
"8220","A5",3000,0
"8220","A6B",3000,0
"8230","T6.1A",6000,0
"8230","T6.1B",6000,0
"8310","S3",0,0
"9110","L5.4",4e+05,0
"9130","L5.1",4e+05,0
"9140","L5.2",40000,0
"9150","L5.3",25000,0
"9170","L3.1",3e+05,0
"9170","L3.2",3e+05,0
"9170","L3.3B",3e+05,0
"9180","L4",80000,1
"9190","L7.2",60000,0
"91D0","R3.2",80000,1
"91D0","L9.2A",80000,1
"91D0","L10.1",80000,1
"91D0","L10.2",80000,1
"91D0","L10.3",80000,1
"91D0","L10.4",80000,1
"91E0","L2.1",80000,1
"91E0","L2.2A",80000,1
"91E0","L2.4",80000,1
"91F0","L2.3A",2e+05,0
"91G0","L3.3A",3e+05,1
"91G0","L3.4",3e+05,1
"91H0","L6.1",35000,1
"91I0","L6.2",150000,1
"91I0","L6.3",150000,1
"91I0","L6.4",150000,1
"91I0","L6.5A",150000,1
"91T0","L8.1A",35000,0
"91U0","L8.2",50000,0
"9410","L9.1",250000,0
"9410","L9.2B",250000,0
"9410","L9.3",250000,0
