"HABITAT","TOTAL_AREA_ALL"
"1340",1282480.67718752
"2330",7695564.00835152
"3130",13735362.8599434
"3140",250754.84095687
"3150",57423504.6890009
"3160",288616.429447
"3220",142898.31846841
"3230",133661.66749089
"3240",688073.49120026
"3260",50253756.1304946
"3270",499091.09562755
"4030",13156955.2494293
"4060",6648733.97759987
"4070",13092037.18485
"4080",374374.39716987
"40A0",541955.86165641
"5130",3677309.67965658
"6110",323890.65136762
"6150",8302873.80531983
"6190",3308089.71695898
"6210",141615817.987474
"6210p",9068556.46440782
"6230",102837496.676328
"6240",2832503.12443079
"6250",531385.43323949
"6260",951007.22763709
"6410",73079086.4845825
"6430",85854195.1971534
"6440",12228418.9412853
"6510",1774546958.40761
"6520",148471852.886277
"7110",7538664.258068
"7120",9641185.30356266
"7140",51754155.1164946
"7150",201747.84836453
"7210",44594.06699343
"7220",284136.52703358
"7230",539883.84079573
"8110",1831953.05020786
"8150",847328.25986097
"8160",242847.10958247
"8210",1713052.87435113
"8220",68134736.189363
"8230",696454.42193867
"8310",17742.79020137
"9110",1384056822.98882
"9130",1338726278.91211
"9140",4476601.51470812
"9150",11889978.9034438
"9170",1693836143.97674
"9180",177792338.138206
"9190",94798016.1233602
"91D0",141009467.426201
"91E0",904505691.524354
"91F0",245443303.009802
"91G0",104952717.563355
"91H0",9831452.73282351
"91I0",70107184.1078109
"91T0",1797503.13619379
"91U0",3624412.18037857
"9410",782524790.442944
